window,outcome,xset,term,beta,se,p,n,r2_within
w3_5,gfcf_gdp,aidtype,share_aidtype_budget_support,-2.5455963886635473,1.9298197093272258,0.1872503736324609,2913,-0.13954027540915526
w3_5,gfcf_gdp,aidtype,share_aidtype_project,-1.7564646074679744,1.8175366034069458,0.3339297105158021,2913,-0.13954027540915526
w3_5,gfcf_gdp,aidtype,share_aidtype_pooled_earmarked,-9.413911580506445,7.004223796300287,0.17904829527388189,2913,-0.13954027540915526
w3_5,gfcf_gdp,aidtype,share_aidtype_ngo_core,16.082260439490575,18.857157378888463,0.3938186306486817,2913,-0.13954027540915526
w3_5,gfcf_gdp,aidtype,share_aidtype_scholarships_students,0.05813892588188636,6.971658584395192,0.9933468627801534,2913,-0.13954027540915526
w3_5,gfcf_gdp,aidtype,share_aidtype_admin_refugee_awareness,-20.56562134550891,24.63850238971044,0.40396218863941646,2913,-0.13954027540915526
w3_5,gfcf_gdp,channel,share_channel_public_recipient,2.732264673960676,2.178442116829956,0.20986528620173628,2913,-0.012110952797586672
w3_5,gfcf_gdp,channel,share_channel_public_donor,-1.6573430440049295,3.140319763624337,0.5977066812830016,2913,-0.012110952797586672
w3_5,gfcf_gdp,channel,share_channel_ngo,2.579748490153753,4.290296030215857,0.5476906710224827,2913,-0.012110952797586672
w3_5,gfcf_gdp,channel,share_channel_multilateral,-5.4893237512615,2.9393249931475514,0.06193152660881429,2913,-0.012110952797586672
w3_5,gfcf_gdp,channel,share_channel_private_recipient,9.871458499241726,4.53467033972254,0.029573739800905274,2913,-0.012110952797586672
w3_5,gfcf_gdp,finance,share_finance_grant,-3.88956548473672,2.2231403738478646,0.08030175297570463,2913,-0.03707852394863509
w3_5,gfcf_gdp,finance,share_finance_loan,-2.6173215167414874,2.4846977792249243,0.2922608800664015,2913,-0.03707852394863509
w3_5,gfcf_gdp,extra,share_tc_usd_irtc,5.43310222688391,4.543516147884214,0.23188036855416305,2913,-0.025967852794505752
w3_5,gfcf_gdp,extra,share_untied,0.5840139163664536,0.9648839463757785,0.545050366843209,2913,-0.025967852794505752
w3_5,manf_gdp,aidtype,share_aidtype_technical_cooperation,-4.344531520542544,2.8398319973978756,0.1261565007652694,3215,0.02027796739189114
w3_5,manf_gdp,aidtype,share_aidtype_budget_support,-0.4661411588919109,0.6345693403784245,0.4626526601848999,3215,0.02027796739189114
w3_5,manf_gdp,aidtype,share_aidtype_project,-0.3641276443944064,0.5579228462340123,0.5140320372225808,3215,0.02027796739189114
w3_5,manf_gdp,aidtype,share_aidtype_pooled_earmarked,-1.0698357049098062,3.219916346447254,0.7397190304545207,3215,0.02027796739189114
w3_5,manf_gdp,aidtype,share_aidtype_ngo_core,10.054534392213867,9.572138463255486,0.2936195412163145,3215,0.02027796739189114
w3_5,manf_gdp,aidtype,share_aidtype_scholarships_students,-1.2424241692556897,4.591225198531906,0.7867105700969528,3215,0.02027796739189114
w3_5,manf_gdp,aidtype,share_aidtype_admin_refugee_awareness,4.264731923785461,11.127387183997614,0.701550458878391,3215,0.02027796739189114
w3_5,manf_gdp,channel,share_channel_public_recipient,0.7297117261403789,1.10385991064704,0.5086272621278181,3215,-0.09946679122338375
w3_5,manf_gdp,channel,share_channel_public_donor,0.3665789802509008,1.623360197339814,0.8213605092331364,3215,-0.09946679122338375
w3_5,manf_gdp,channel,share_channel_ngo,-1.2302749562802684,2.4583027282395444,0.6167894399621021,3215,-0.09946679122338375
w3_5,manf_gdp,channel,share_channel_multilateral,2.1414484618837717,1.027394014140336,0.037211489056707014,3215,-0.09946679122338375
w3_5,manf_gdp,channel,share_channel_private_recipient,-1.005311420036176,3.134700791181803,0.7484566339107088,3215,-0.09946679122338375
w3_5,manf_gdp,finance,share_finance_grant,-0.36595289462724334,0.6157673861043615,0.5523530338645335,3215,-0.021844784572109255
w3_5,manf_gdp,finance,share_finance_loan,0.6620937986935845,0.7574124035877353,0.3821041620542194,3215,-0.021844784572109255
w3_5,manf_gdp,extra,share_tc_usd_irtc,-1.3782947456970491,1.463995194795959,0.3465431221079047,3215,-0.03100790222390537
w3_5,manf_gdp,extra,share_untied,-0.3968622521908837,0.3888441882778667,0.30751536522861844,3215,-0.03100790222390537
w3_5,tax_gdp,aidtype,share_aidtype_technical_cooperation,-17.55197786140964,13.914546295522824,0.20731442606963713,2053,0.03288625711587734
w3_5,tax_gdp,aidtype,share_aidtype_budget_support,4.438095989229983,6.492971851891716,0.49435929169919923,2053,0.03288625711587734
w3_5,tax_gdp,aidtype,share_aidtype_project,0.8828745864598266,3.981439807051387,0.8245341047284056,2053,0.03288625711587734
w3_5,tax_gdp,aidtype,share_aidtype_pooled_earmarked,-29.06361946361973,28.80633032633207,0.31313519291640324,2053,0.03288625711587734
w3_5,tax_gdp,aidtype,share_aidtype_ngo_core,-5.782247861523463,40.30157656428626,0.8859305969857836,2053,0.03288625711587734
w3_5,tax_gdp,aidtype,share_aidtype_scholarships_students,-12.471286969541172,11.678342680738668,0.28570116041177873,2053,0.03288625711587734
w3_5,tax_gdp,aidtype,share_aidtype_admin_refugee_awareness,-38.354596019324404,39.19637246568393,0.3279390872345034,2053,0.03288625711587734
w3_5,tax_gdp,channel,share_channel_public_recipient,-1.6171312610767896,4.628949507992781,0.7268637796244892,2053,0.03988275964617838
w3_5,tax_gdp,channel,share_channel_public_donor,-5.96090570027607,4.752247845151703,0.20987397593989265,2053,0.03988275964617838
w3_5,tax_gdp,channel,share_channel_ngo,-9.171635335763636,14.472451966167334,0.5263324674880827,2053,0.03988275964617838
w3_5,tax_gdp,channel,share_channel_multilateral,-35.869692460264446,37.520888250402834,0.3391968141728241,2053,0.03988275964617838
w3_5,tax_gdp,channel,share_channel_private_recipient,-10.27937714232444,13.508927524216265,0.44679143104302854,2053,0.03988275964617838
w3_5,tax_gdp,finance,share_finance_grant,-7.443395154612266,11.179980118768,0.5056326017186215,2053,0.02009470151236248
w3_5,tax_gdp,finance,share_finance_loan,-8.449833531776372,12.902387885729356,0.512607813783239,2053,0.02009470151236248
w3_5,tax_gdp,extra,share_tc_usd_irtc,-14.67783796763289,15.754003440308683,0.3516145092783991,2053,0.02276030600517487
w3_5,tax_gdp,extra,share_untied,7.6234008480311966,8.038973853080451,0.34309374688751904,2053,0.02276030600517487
w3_5,elec_access,aidtype,share_aidtype_technical_cooperation,6.805406210524365,15.38127558109442,0.6581935902896561,3575,0.40885824822969863
