window,outcome,term,beta,se,p,n
w11_15,log_gdppc,share_aidtype_pooled_earmarked,-0.4187897592059018,0.2373028297057867,0.0777310062425966,2478
w11_15,log_gdppc,share_aidtype_ngo_core,0.5600253802381812,0.5019097639159189,0.2646284307017961,2478
w11_15,log_gdppc,share_aidtype_scholarships_students,-0.1864079248618606,0.170581070920751,0.2746033746772733,2478
w11_15,log_gdppc,share_aidtype_admin_refugee_awareness,-7.301888581944216,1.7954369306584164,4.923472779472249e-05,2478
w11_15,gfcf_gdp,share_aidtype_technical_cooperation,-0.0052758575358431,8.471626077296252,0.9995031669331318,2094
w11_15,gfcf_gdp,share_aidtype_budget_support,3.141005121892456,1.6770711494054438,0.0612305589496253,2094
w11_15,gfcf_gdp,share_aidtype_project,1.2777209814318422,1.8114488772042503,0.4806715855127681,2094
w11_15,gfcf_gdp,share_aidtype_pooled_earmarked,-2.8255191805459954,6.364444055981058,0.6571253649623305,2094
w11_15,gfcf_gdp,share_aidtype_ngo_core,11.62344009192024,15.672250362030356,0.4583844918997839,2094
w11_15,gfcf_gdp,share_aidtype_scholarships_students,-1.3434653377593648,6.37620549032328,0.8331435873666764,2094
w11_15,gfcf_gdp,share_aidtype_admin_refugee_awareness,-127.69666816592436,51.29066438804253,0.0128692530768688,2094
w11_15,manf_gdp,share_aidtype_technical_cooperation,1.1274489929493297,2.1001719956786378,0.5914362031329188,2307
w11_15,manf_gdp,share_aidtype_budget_support,-0.7079603761980042,0.4635733476270498,0.1268633927787388,2307
w11_15,manf_gdp,share_aidtype_project,-0.1138365983107092,0.4945417462850665,0.8179691606242057,2307
w11_15,manf_gdp,share_aidtype_pooled_earmarked,0.86488397157667,2.277411290999677,0.7041565066474123,2307
w11_15,manf_gdp,share_aidtype_ngo_core,-2.2125963843853773,7.66073869335673,0.7727448406813844,2307
w11_15,manf_gdp,share_aidtype_scholarships_students,4.810790234635951,3.061874610592027,0.1162856767926034,2307
w11_15,manf_gdp,share_aidtype_admin_refugee_awareness,21.6485564121307,17.94914125186544,0.2279098005148905,2307
w11_15,tax_gdp,share_aidtype_technical_cooperation,-23.497798296188066,14.788782257053937,0.112294224795314,1642
w11_15,tax_gdp,share_aidtype_budget_support,3.9232210595373145,2.743137175417947,0.152868353552424,1642
w11_15,tax_gdp,share_aidtype_project,-1.148192142969903,0.8943251186365788,0.1993867777030613,1642
w11_15,tax_gdp,share_aidtype_pooled_earmarked,-7.75494027030299,3.598381207115435,0.0313104828753783,1642
w11_15,tax_gdp,share_aidtype_ngo_core,-25.653172693324485,23.20721964827556,0.2691643859449613,1642
w11_15,tax_gdp,share_aidtype_scholarships_students,-8.100754617114388,6.971172293550882,0.2454047575430034,1642
w11_15,tax_gdp,share_aidtype_admin_refugee_awareness,-82.49870492223849,32.694473524091805,0.0117273029045623,1642
w11_15,elec_access,share_aidtype_technical_cooperation,-12.465939742452456,9.718129031943588,0.1997057747269368,2518
w11_15,elec_access,share_aidtype_budget_support,-2.4962621543095347,1.7080201163403697,0.1440134000544735,2518
w11_15,elec_access,share_aidtype_project,-0.9262656505654782,1.2986793971462458,0.4757701637808589,2518
w11_15,elec_access,share_aidtype_pooled_earmarked,-6.618991396723494,6.131506899395247,0.2804734693805624,2518
w11_15,elec_access,share_aidtype_ngo_core,38.68277350287868,30.2763640435345,0.2014969461085949,2518
w11_15,elec_access,share_aidtype_scholarships_students,-5.346064435233487,5.909617900449017,0.3657499306892942,2518
w11_15,elec_access,share_aidtype_admin_refugee_awareness,-120.15280705185944,39.001409621149,0.0020888474922808,2518
